model,benchmark,condition,bits,effective_bits,ece_lo,ece,ece_hi,delta_ece_lo,delta_ece,delta_ece_hi,slope_lo,slope,slope_hi,delta_slope_lo,delta_slope,delta_slope_hi,intercept_lo,intercept,intercept_hi,delta_intercept_lo,delta_intercept,delta_intercept_hi,brier_lo,brier,brier_hi,delta_brier_lo,delta_brier,delta_brier_hi
llama3.2-3b,mmlu,affine_b2_g64,2,2.501,0.4350649548709392,0.46345459720492366,0.4908610355839133,0.27883016334548594,0.3215284127295017,0.3552690168298781,-0.11007218039187609,0.029894838256817324,0.1593347374506765,-0.6975375273342558,-0.5261730992977101,-0.37307895176718053,-2.6828629885166175,-2.484434376581773,-2.2860243155253124,-1.870462355060932,-1.6096009886127538,-1.3480826539128914,0.4116253565540036,0.4281196102133137,0.4448495167289281,0.17918064293216948,0.2015547976024768,0.22274520039222948
qwen2.5-1.5b,arc_challenge,bf16,16,16.0,0.11131181855872274,0.13051572716236115,0.15627949717640874,,0.0,,0.44313772412864,0.5067526602855508,0.5905230415360175,,0.0,,-1.8098814072330611,-1.548180046146022,-1.3003735350331602,,0.0,,0.1494208135809121,0.1677655862682979,0.18572658694254443,,0.0,
qwen2.5-1.5b,arc_challenge,affine_b8_g64,8,8.501,0.10836152133792638,0.13012869966030122,0.1541866179347038,-0.010349708932638157,-0.0003870275020599334,0.005827089212089777,0.4426538944777812,0.5102262568355395,0.5865396901873247,-0.03145875156379198,0.003473596549988689,0.03656929741888713,-1.7713955900750373,-1.5237376128957436,-1.2710142526467751,-0.0592147358522386,0.024442433250278395,0.10965793842484878,0.14916425127741986,0.16715341706638867,0.18512962885032866,-0.0025372850746965036,-0.0006121692019092351,0.0013540104971157076
qwen2.5-1.5b,arc_challenge,affine_b6_g64,6,6.501,0.1009001915201545,0.11924347516894342,0.14587659404501319,-0.020733363695442715,-0.011272251993417734,-0.00014387330263855027,0.4183493338724413,0.4832427668515131,0.5548094764246299,-0.06801295127652406,-0.0235098934340377,0.016349785935715868,-1.6583459046666222,-1.4044365089087638,-1.1600010012600115,0.03717840718117656,0.1437435372372582,0.25749521277900067,0.14681160329589066,0.16468445319994382,0.18272983870247742,-0.006556275029038608,-0.003081133068354086,0.0005961109995238946
qwen2.5-1.5b,arc_challenge,affine_b5_g64,5,5.501,0.09723728130832315,0.12007374662160877,0.14172656666636466,-0.028119664385914803,-0.010441980540752377,0.003152138966321939,0.4635752900321884,0.5357984761386982,0.6214235898232532,-0.03534483180408713,0.029045815853147472,0.09745232632721501,-1.4261989217871167,-1.2013503128129366,-0.9680934357463022,0.18796377473324807,0.3468297333330854,0.5083959712544175,0.14522378647371903,0.1625173913131308,0.17987860232286845,-0.011413137667391481,-0.005248194955167096,0.000637726050036325
qwen2.5-1.5b,arc_challenge,affine_b4_g64,4,4.501,0.1123247555077076,0.1363401757478714,0.16015630428344013,-0.015238180382549735,0.005824448585510261,0.022621314788609792,0.5154761022549547,0.5910471779854605,0.6850520563993117,0.00020419178300777905,0.0842945176999097,0.17157310586936936,-1.550201416611849,-1.3344783493139363,-1.1191293923537609,0.0057128770599303765,0.21370169683208573,0.41721523160086316,0.15787036951933023,0.17652582423580163,0.19388314785647054,-0.002098860578620134,0.00876023796750372,0.0195748198798071
qwen2.5-1.5b,arc_challenge,affine_b3_g64,3,3.501,0.12525730265900492,0.14918713685870172,0.17935587389767169,-0.016053204493224563,0.01867140969634057,0.053298059606552074,0.5603074739104184,0.6992186265908412,0.8576260850900211,0.02671952977791899,0.19246596630529045,0.36759148875586345,-0.844185675678624,-0.6973550978035252,-0.553309283576286,0.5534679273999573,0.8508249483424968,1.1458241945237035,0.23537214513059612,0.24707878226591548,0.25870788884112916,0.06053611052848656,0.07931319599761757,0.09941097762744645
qwen2.5-1.5b,arc_challenge,affine_b2_g64,2,2.501,0.4692917933002114,0.4982413705587388,0.5266733764760196,0.3275006640464067,0.36772564339637764,0.4010831843510271,-0.07174730008940858,0.020315903862537343,0.10775344678020145,-0.6157512680565352,-0.48643675642301343,-0.3731315087757791,-3.2674382607133,-3.013389554655401,-2.7804572847276576,-1.832001489225693,-1.4652095085093788,-1.0868179390831216,0.4391550588804739,0.4590821954271429,0.47861383775774863,0.26480473550152234,0.291316609158845,0.3185838159371444
qwen2.5-1.5b,mmlu,bf16,16,16.0,0.18635374456420542,0.2133021747171879,0.24117783367186782,,0.0,,0.4428997056168601,0.5094060513845828,0.583967745140103,,0.0,,-1.757323214451241,-1.549992236970729,-1.349077113708429,,0.0,,0.22737200104672425,0.24483159443386904,0.2634338100801259,,0.0,
qwen2.5-1.5b,mmlu,affine_b8_g64,8,8.501,0.18497754403427247,0.2109700668454171,0.2396458429224788,-0.010785063206404372,-0.0023321078717707944,0.006551795241236693,0.4392422078024684,0.50678118445072,0.5819886995180534,-0.029008943136808428,-0.0026248669338628794,0.023345096153714072,-1.7365407475759205,-1.52330040737553,-1.322977868309699,-0.03422629947492901,0.026691829595199,0.09061533081204565,0.22628985405148686,0.2441078537548274,0.26240502362436585,-0.0031700416582947735,-0.000723740679041629,0.0016247737868183708
