model,benchmark,condition,mean_conf_incorrect,mean_conf_correct,overconfidence_rate,overconfidence_rate_lo,overconfidence_rate_hi,overconfidence_rate_n_qualifying,delta_intercept_lo,delta_intercept,delta_intercept_hi,delta_conf_incorrect_lo,delta_conf_incorrect,delta_conf_incorrect_hi
llama3.2-3b,arc_challenge,mixed_3_4,0.6664531969053801,0.8350531405701143,0.15990453460620524,0.1255741110451627,0.19438768090572703,419,-0.6176436171085045,-0.41073100682438746,-0.20431102807290744,0.022920508238405957,0.04884278523232266,0.07534572103927022
llama3.2-3b,arc_challenge,mixed_3_6,0.6383525899729546,0.8274669061540295,0.12919896640826872,0.09653245464140323,0.16216216216216217,387,-0.44147635987522205,-0.24303724863906317,-0.0570977650658462,-0.004283990079226624,0.020742178299897218,0.04594800944932296
llama3.2-3b,arc_challenge,mixed_4_6,0.6119106731687983,0.8154027882670418,0.08877284595300261,0.060526315789473685,0.11948263692828909,383,0.0023448352527785407,0.14008327688455258,0.2782500470646525,-0.024403945365573203,-0.005699738504259089,0.012367732287186229
llama3.2-3b,mmlu,bf16,0.6086837084415064,0.7883717155309888,0.14057507987220447,0.1041618883792049,0.1809947264476006,313,,0.0,,,0.0,
llama3.2-3b,mmlu,affine_b8_g64,0.6113211852173472,0.7856008755010471,0.14743589743589744,0.11038216370785178,0.18902634459036896,312,-0.04885659136847086,0.00494379511828591,0.05934031330797367,-0.0026801190131196364,0.002637476775840808,0.008088489308955641
llama3.2-3b,mmlu,affine_b6_g64,0.6029025598042677,0.7851259513276634,0.1464968152866242,0.10997861356932154,0.18729096989966554,314,-0.1000157882872595,-0.017223195802650748,0.06358358991072062,-0.014017846791628685,-0.0057811486372387755,0.0026891321514773657
llama3.2-3b,mmlu,affine_b5_g64,0.6167821905731615,0.8148645108105034,0.16714697406340057,0.12951355896773212,0.2083392857142857,347,-0.3433291491995944,-0.22235704729245243,-0.09909679875914984,-0.003823464148110364,0.008098482131655094,0.01952045973348206
llama3.2-3b,mmlu,affine_b4_g64,0.6012092130029495,0.7720862133916851,0.1386861313868613,0.09884397305049697,0.18051952875458685,274,-0.11905604966547569,0.031000262942451395,0.1908661796920714,-0.024631237759553323,-0.007474495438556938,0.00858351099777015
llama3.2-3b,mmlu,affine_b3_g64,0.6199258269057444,0.770570496195241,0.21621621621621623,0.1673292285403839,0.26459143968871596,259,-0.4992712298337725,-0.2921198266635744,-0.08638812358673811,-0.011520542333099607,0.011242118464237949,0.033379246144189245
llama3.2-3b,mmlu,affine_b2_g64,0.7079558275788036,0.7099916219711304,0.7515923566878981,0.6838011119081779,0.8197768529362556,157,-1.870462355060932,-1.6096009886127538,-1.3480826539128914,0.07737831943501983,0.09927211913729717,0.11984202350749897
llama3.2-3b,mmlu,affine_b4_g32,0.6217496294427562,0.8056426828177713,0.16265060240963855,0.125,0.20409828619875242,332,-0.3134236862594442,-0.18104556907232128,-0.04144557532457919,-0.000779311545853753,0.013065921001249814,0.026674226263141785
llama3.2-3b,mmlu,affine_b4_g128,0.5945858742416814,0.7876967607606581,0.1568627450980392,0.1178343949044586,0.19871845425867507,306,-0.2525549470541313,-0.09077907000699992,0.06271873523257983,-0.031746578293765544,-0.014097834199825021,0.0024514921605025483
llama3.2-3b,mmlu,mxfp4_b4_g32,0.632429636208526,0.802144123275927,0.19076923076923077,0.14666568914956013,0.23492063492063492,325,-0.4611368657424828,-0.28776280803873744,-0.10793439128568187,0.005169752361941354,0.02374592776701956,0.042148131585056196
llama3.2-3b,mmlu,mixed_2_6,0.6640000863216858,0.65915546933378,0.753731343283582,0.6817895339954163,0.8260945048309178,134,-1.4492421524681582,-1.1946228287449858,-0.9318567283593835,0.032715089606747794,0.0553163778801794,0.07792220665615142
llama3.2-3b,mmlu,mixed_3_4,0.6073528074233209,0.7694311598033616,0.16393442622950818,0.11946902654867257,0.21251536885245892,244,-0.262208159429971,-0.07192093952076728,0.11862521201898575,-0.02197046828516046,-0.0013309010181855596,0.0192912289451494
llama3.2-3b,mmlu,mixed_3_6,0.6005181356447156,0.7699170383437052,0.1693548387096774,0.12345679012345678,0.21774193548387097,248,-0.23206851307673462,-0.05676282107006525,0.1319967925446137,-0.028122185752019916,-0.008165572796790865,0.011849652078469284
llama3.2-3b,mmlu,mixed_4_6,0.5812386891857505,0.7652583823872668,0.1297709923664122,0.08943089430894309,0.17279525236020332,262,-0.06615116177517111,0.06822629283294102,0.20584763163287492,-0.04166799514325025,-0.02744501925575593,-0.014155324378233134
qwen2.5-1.5b,arc_challenge,bf16,0.7796639722712496,0.931072486420862,0.12446351931330472,0.10057450913353522,0.14857142857142858,699,,0.0,,,0.0,
qwen2.5-1.5b,arc_challenge,affine_b8_g64,0.776303792025073,0.9304591984883028,0.12410841654778887,0.10013751763046544,0.14782639015220425,701,-0.0592147358522386,0.024442433250278395,0.10965793842484878,-0.014011196759154207,-0.0033601802461765695,0.007558853719504727
qwen2.5-1.5b,arc_challenge,affine_b6_g64,0.7791370316223951,0.9252918107774866,0.12464183381088825,0.10086922963834166,0.1487505533468974,698,0.03717840718117656,0.1437435372372582,0.25749521277900067,-0.014103551707163365,-0.0005269406488545014,0.013448338192976125
qwen2.5-1.5b,arc_challenge,affine_b5_g64,0.7649701660094054,0.9166339912971893,0.11093990755007704,0.08701958434183578,0.1344959613517957,649,0.18796377473324807,0.3468297333330854,0.5083959712544175,-0.033827432717572194,-0.014693806261844244,0.0053302595274258326
qwen2.5-1.5b,arc_challenge,affine_b4_g64,0.7530680451782937,0.9160883490961637,0.13953488372093023,0.11262985159817351,0.16589791275458615,645,0.0057128770599303765,0.21370169683208573,0.41721523160086316,-0.053464212597581086,-0.026595927092955884,-0.0010268471690668944
qwen2.5-1.5b,arc_challenge,affine_b3_g64,0.5321698850938972,0.6406597102543822,0.20689655172413793,0.09995901639344264,0.3103448275862069,58,0.5534679273999573,0.8508249483424968,1.1458241945237035,-0.27313230494745294,-0.24749408717735244,-0.22181137325892386
